Date,Light
9/04/2017 18:08,1.136
9/04/2017 18:13,1.136
9/04/2017 18:18,1.136
9/04/2017 18:23,1.136
9/04/2017 18:28,1.136
9/04/2017 18:33,1.136
9/04/2017 18:38,1.136
9/04/2017 18:43,1.136
9/04/2017 18:48,1.136
9/04/2017 18:53,1.136
9/04/2017 18:58,1.136
9/04/2017 19:03,1.136
9/04/2017 19:08,1.136
9/04/2017 19:13,1.136
9/04/2017 19:18,1.136
9/04/2017 19:23,1.136
9/04/2017 19:28,1.136
9/04/2017 19:33,1.136
9/04/2017 19:38,1.136
9/04/2017 19:43,1.136
9/04/2017 19:48,1.136
9/04/2017 19:53,1.136
9/04/2017 19:58,1.136
9/04/2017 20:03,1.136
9/04/2017 20:08,1.136
9/04/2017 20:13,1.136
9/04/2017 20:18,1.136
9/04/2017 20:23,1.136
9/04/2017 20:28,1.136
9/04/2017 20:33,1.136
9/04/2017 20:38,1.136
9/04/2017 20:43,1.136
9/04/2017 20:48,2.271
9/04/2017 20:53,2.271
9/04/2017 20:58,1.136
9/04/2017 21:03,19.304
9/04/2017 21:08,78.353
9/04/2017 21:13,151.029
9/04/2017 21:18,200.993
9/04/2017 21:23,337.26
9/04/2017 21:28,691.553
9/04/2017 21:33,836.904
9/04/2017 21:38,1309.295
9/04/2017 21:43,1309.295
9/04/2017 21:48,1818.024
9/04/2017 21:53,2472.103
9/04/2017 21:58,4216.316
9/04/2017 22:03,6396.582
9/04/2017 22:08,4652.369
9/04/2017 22:13,6687.284
9/04/2017 22:18,6396.582
9/04/2017 22:23,107.878
9/04/2017 22:28,146.487
9/04/2017 22:33,151.029
9/04/2017 22:38,237.331
9/04/2017 22:43,232.789
9/04/2017 22:48,364.513
9/04/2017 22:53,310.007
9/04/2017 22:58,155.571
9/04/2017 23:03,219.162
9/04/2017 23:08,228.247
9/04/2017 23:13,169.198
9/04/2017 23:18,205.535
9/04/2017 23:23,246.415
9/04/2017 23:28,228.247
9/04/2017 23:33,291.838
9/04/2017 23:38,246.415
9/04/2017 23:43,250.958
9/04/2017 23:48,337.26
9/04/2017 23:53,491.695
9/04/2017 23:58,518.949
10/04/2017 0:03,446.273
10/04/2017 0:08,573.455
10/04/2017 0:13,491.695
10/04/2017 0:18,582.54
10/04/2017 0:23,582.54
10/04/2017 0:28,582.54
10/04/2017 0:33,836.904
10/04/2017 0:38,618.878
10/04/2017 0:43,482.611
10/04/2017 0:48,391.767
10/04/2017 0:53,337.26
10/04/2017 0:58,364.513
10/04/2017 1:03,473.526
10/04/2017 1:08,727.891
10/04/2017 1:13,800.566
10/04/2017 1:18,6396.582
10/04/2017 1:23,518.949
10/04/2017 1:28,582.54
10/04/2017 1:33,573.455
10/04/2017 1:38,764.229
10/04/2017 1:43,32559.772
10/04/2017 1:48,41862.239
10/04/2017 1:53,55815.941
10/04/2017 1:58,27908.538
10/04/2017 2:03,46513.473
10/04/2017 2:08,37211.006
10/04/2017 2:13,30234.155
10/04/2017 2:18,25582.921
10/04/2017 2:23,34885.389
10/04/2017 2:28,41862.239
10/04/2017 2:33,46513.473
10/04/2017 2:38,32559.772
10/04/2017 2:43,65118.408
10/04/2017 2:48,69769.642
10/04/2017 2:53,46513.473
10/04/2017 2:58,46513.473
10/04/2017 3:03,51164.707
10/04/2017 3:08,41862.239
10/04/2017 3:13,32559.772
10/04/2017 3:18,32559.772
10/04/2017 3:23,46513.473
10/04/2017 3:28,30234.155
